Track_ID,Tempo,Key
0,138.559,6.0
1,92.761,8.0
2,108.014,1.0
3,120.423,2.0
4,167.953,10.0
5,120.264,11.0
6,127.03,4.0
7,140.158,11.0
8,120.012,2.0
9,192.296,10.0
10,96.483,9.0
11,84.581,4.0
12,91.455,9.0
13,88.969,0.0
14,123.229,0.0
15,104.655,11.0
16,96.184,0.0
17,122.444,0.0
18,91.577,7.0
19,91.959,5.0
20,90.059,6.0
21,125.173,11.0
22,96.946,1.0
23,78.693,10.0
24,108.52,6.0
25,97.018,3.0
26,90.012,6.0
27,94.028,8.0
28,93.975,11.0
29,181.733,10.0
30,123.296,6.0
31,142.37,4.0
32,105.25,4.0
33,132.97,10.0
34,139.503,7.0
35,103.01,7.0
36,117.909,0.0
37,130.573,11.0
38,89.24,7.0
39,101.125,4.0
40,173.372,11.0
41,138.015,5.0
42,102.617,1.0
43,103.019,11.0
44,146.277,5.0
45,124.97,6.0
46,139.631,5.0
47,90.027,0.0
48,105.006,1.0
49,138.178,3.0
50,116.047,6.0
51,122.746,2.0
52,109.942,10.0
53,116.05,6.0
54,121.294,7.0
55,123.474,6.0
56,99.958,9.0
57,100.163,10.0
58,106.896,9.0
59,124.726,9.0
60,105.143,3.0
61,110.018,9.0
62,120.119,5.0
63,107.045,2.0
64,95.136,9.0
65,135.095,4.0
66,140.127,1.0
67,150.184,9.0
68,105.076,4.0
69,110.006,9.0
70,91.844,7.0
71,76.426,5.0
72,74.807,7.0
73,87.568,4.0
74,121.603,4.0
75,152.958,11.0
76,165.653,11.0
77,73.543,2.0
78,175.702,7.0
79,128.378,4.0
80,115.728,6.0
81,133.52,4.0
82,188.386,9.0
83,127.361,7.0
84,126.366,9.0
85,106.767,4.0
86,135.653,11.0
87,141.038,2.0
88,135.962,3.0
89,118.4,2.0
90,127.966,0.0
91,131.971,11.0
92,94.086,5.0
93,94.05,0.0
94,124.025,2.0
95,153.645,1.0
96,126.017,4.0
97,130.002,11.0
98,105.093,10.0
99,126.042,1.0
100,117.002,11.0
101,176.086,7.0
102,138.728,3.0
103,118.193,8.0
104,114.031,1.0
105,118.881,11.0
106,89.946,0.0
107,108.002,5.0
108,114.472,1.0
109,117.513,7.0
110,95.002,2.0
111,113.796,5.0
112,122.019,7.0
113,103.998,2.0
114,126.019,11.0
115,113.608,1.0
116,159.7,5.0
117,122.032,8.0
118,140.004,9.0
119,192.205,9.0
120,84.039,0.0
121,112.238,7.0
122,104.504,5.0
123,130.027,4.0
124,171.447,1.0
